name,ip,total_runs,first_seen,last_seen
Roslin 2A - 1st Floor,172.16.4.121,45,2025-07-21,2025-07-31
Roslin 2B,172.16.4.124,45,2025-07-21,2025-07-31
Roslin Institute (EBRC) - Plantroom beside Genny,172.16.4.47,45,2025-07-21,2025-07-31
SCRM Little France - Beside DHW Control Panel,172.16.4.50,45,2025-07-21,2025-07-31
SCRM Little France - Beside Main LV Switchboard,172.16.4.49,45,2025-07-21,2025-07-31
Simon Laurie House Main Electricity,172.16.6.124,45,2025-07-21,2025-07-31
South Hall,172.16.7.26,45,2025-07-21,2025-07-31
St Cecilias Hall,172.16.6.194,45,2025-07-21,2025-07-31
St Johns Land - Ground,172.16.6.250,45,2025-07-21,2025-07-31
St Johns Land Main Electricity,172.16.6.123,45,2025-07-21,2025-07-31
St Leonards Land,172.16.6.255,45,2025-07-21,2025-07-31
St Leonards Land Main Electricity,172.16.6.129,45,2025-07-21,2025-07-31
"Sub Station ""E"" KB - Cl/rooms",172.16.4.62,45,2025-07-21,2025-07-31
"Sub-Station ""C"" KB - Darwin",172.16.4.59,45,2025-07-21,2025-07-31
The Bayes Centre,172.16.7.120,45,2025-07-21,2025-07-31
WGH - CJD Main Electric,172.16.7.125,45,2025-07-21,2025-07-31
WGH - Systems Medicine - Main LV Switchroom,172.16.6.203,45,2025-07-21,2025-07-31
WGH - WGH6QWTRCF(clinical),172.16.7.8,45,2025-07-21,2025-07-31
Waddington,172.16.4.192,45,2025-07-21,2025-07-31
0668 - William Rankine,172.16.133.28,46,2025-07-21,2025-07-31
2702 - QMRI - Central (ESS),172.16.133.36,46,2025-07-21,2025-07-31
2702 - QMRI - Central (Non ESS),172.16.133.35,46,2025-07-21,2025-07-31
2702 - QMRI - Drum (ESS),172.16.133.32,46,2025-07-21,2025-07-31
2702 - QMRI - Drum (Non ESS),172.16.133.31,46,2025-07-21,2025-07-31
2702 - QMRI - East (ESS),172.16.133.30,46,2025-07-21,2025-07-31
2702 - QMRI - East (Non Ess),172.16.133.29,46,2025-07-21,2025-07-31
2702 - QMRI - Primary LV (East/Drum),172.16.133.39,46,2025-07-21,2025-07-31
2702 - QMRI - Primary LV (West/Central),172.16.133.38,46,2025-07-21,2025-07-31
2702 - QMRI - Primary LV (West/Central) TX1,172.16.133.37,46,2025-07-21,2025-07-31
2702 - QMRI - West (ESS),172.16.133.34,46,2025-07-21,2025-07-31
2702 - QMRI - West (Non ESS),172.16.133.33,46,2025-07-21,2025-07-31
Ashworth,172.16.133.11,46,2025-07-21,2025-07-31
Ashworth 2,172.16.133.5,46,2025-07-21,2025-07-31
Fleeming Jenkin,172.16.133.7,46,2025-07-21,2025-07-31
Geology,172.16.133.10,46,2025-07-21,2025-07-31
John Murray,172.16.133.12,46,2025-07-21,2025-07-31
Joseph Black,172.16.133.4,46,2025-07-21,2025-07-31
Nucleus Building - 4th Floor Plantroom,172.16.133.50,46,2025-07-21,2025-07-31
Sanderson,172.16.133.6,46,2025-07-21,2025-07-31
Solar Farm,172.16.133.20,46,2025-07-21,2025-07-31
Structures Lab,172.16.133.8,46,2025-07-21,2025-07-31
"Sub-Station  ""A""   KB ( Energy Centre)",172.16.133.1,46,2025-07-21,2025-07-31
"Sub-Station ""B"" KB - Sanderson",172.16.133.2,46,2025-07-21,2025-07-31
"Sub-Station ""D"" KB - JCMB",172.16.133.3,46,2025-07-21,2025-07-31
Usher 4th Floor Electrical,10.106.84.2,46,2025-07-21,2025-07-31
Usher 4th Floor Mechanical,10.106.84.4,46,2025-07-21,2025-07-31
Usher Grd Floor ,10.106.84.1,46,2025-07-21,2025-07-31
